ID;Sex;Age;State;Account length;Phone number;Plans;Number vmail messages;Total day minutes;Total day calls;Total day charge;Total eve minutes;Total eve calls;Total eve charge;Total night minutes;Total night calls;Total night charge;Total intl minutes;Total intl calls;Total intl charge;Total charge;Customer service calls;Churn
11963;Female;49.0;MS;76;408 232 15 90;None;0;173.2;93.0;29.44;131.2;80.0;11.15;170.9;104.0;7.69;5.4;3.0;1.46;49.74;o;0
12065;Female;;VA;105;415 825 32 91;None;0;259.3;96.0;44.08;175.2;97.0;14.89;222.4;36.0;10.01;12.0;5.0;3.24;72.22;3;0
12093;Female;43.0;MD;88;415 364 22 95;International;0;235.1;98.0;39.97;251.8;79.0;21.4;285.9;76.0;12.87;7.2;2.0;1.94;76.18;4;1
12106;Female;34.0;AL;117;510 483 38 70;None;0;158.7;84.0;26.98;181.7;91.0;15.44;177.3;67.0;7.98;7.7;10.0;2.08;52.48;2;0
12190;Male;29.0;CA;111;408 746 30 99;None;0;249.8;109.0;42.47;242.4;106.0;20.6;231.8;78.0;10.43;11.6;4.0;3.13;76.63;0;1
12197;Female;;VA;67;415 190 77 54;None;0;138.9;65.0;23.61;208.9;109.0;17.76;232.4;82.0;10.46;9.2;3.0;2.48;54.31;2;0
12235;Female;39.0;MT;80;415 226 31 80;None;0;198.1;160.0;33.68;156.7;87.0;13.32;182.1;76.0;8.19;9.3;3.0;2.51;57.7;3;0
12243;Male;29.0;SD;131;510 879 19 22;None;0;187.9;110.0;31.94;200.5;101.0;17.04;202.6;125.0;9.12;10.2;11.0;2.75;60.85;2;0
12255;Male;41.0;VA;132;510 586 12 37;None;0;81.1;86.0;13.79;245.2;72.0;20.84;237.0;115.0;10.67;10.3;2.0;2.78;48.08;0;0
12301;Male;37.0;IL;148;408 314 35 33;Voice mail;25;230.7;102.0;39.22;233.8;109.0;19.87;215.8;90.0;9.71;13.5;2.0;3.65;72.45;3;0
12341;Male;43.0;NY;11;415 216 46 60;None;0;143.4;130.0;24.38;289.4;50.0;24.6;194.0;100.0;8.73;9.7;6.0;2.62;60.33;2;0
12344;Male;29.0;GA;160;415 312 12 73;Voice mail;29;164.6;121.0;27.98;262.8;108.0;22.34;123.8;131.0;5.57;15.2;4.0;4.1;59.99;1;0
12362;Female;;OK;155;415 413 91 64;Voice mail;23;243.9;112.0;41.46;133.0;106.0;11.31;213.7;123.0;9.62;13.4;11.0;3.62;66.01;2;0
12397;Female;40.0;MN;186;415 439 23 60;Voice mail;26;74.3;107.0;12.63;177.3;116.0;15.07;296.3;90.0;13.33;14.5;3.0;3.92;44.95;2;0
12455;Female;23.0;WV;115;510 763 35 22;International;0;249.9;95.0;42.48;242.5;104.0;20.61;151.7;121.0;6.83;15,3;6.0;4.13;74.05;1;1
12514;Female;;NC;128;510 516 38 48;None;0;187.3;84.0;31.84;270.8;95.0;23.02;206.4;68.0;9.29;10.1;5.0;2.73;66.88;1;0
12533;Male;29.0;NH;116;408 418 96 39;Voice mail;24;183.6;138.0;31.21;203.8;90.0;17.32;166.9;89.0;7.51;6.0;3.0;1.62;57.66;2;0
12542;Male;33.0;VA;121;510 594 83 49;Voice mail;28;110.0;94.0;18.7;141.5;76.0;12.03;237.3;87.0;10.68;6.4;3.0;1.73;43.14;2;0
12590;Female;;UT;59;510 376 50 94;None;0;155.2;79.0;26.38;235.3;123.0;20.0;169.4;80.0;7.62;8.7;4.0;2.35;56.35;1;0
12602;Female;;FL;84;510 344 87 37;None;0;191.o;88.0;32.47;318.8;119.0;27.1;247.3;79.0;11.13;6.5;4.0;1.76;72.46;0;0
12610;Female;28.0;OH;39;415 315 60 92;Voice mail;36;141.7;121.0;24.09;232.3;113.0;19.75;222.1;131.0;9.99;12.0;5.0;3.24;57.07;1;0
12637;Female;46.0;CO;105;408 903 25 28;None;0;270.9;98.0;46.05;226.2;110.0;19.23;178.8;60.0;8.05;8.8;5.0;2.38;75.71;0;1
12650;Male;;ME;112;415 337 90 80;None;0;185.4;114.0;31.52;191.4;119.0;16.27;144.0;78.0;6.48;10.0;11.0;2.7;56.97;2;0
12715;Male;47.0;KS;70;415 639 17 82;None;0;222.8;114.0;37.88;215.9;113.0;18.35;223.5;122.0;10.06;0.0;0.0;0.0;66.29;1;0
12736;Male;37.0;SC;79;415 546 33 44;None;0;134.7;98.0;22.9;189.7;68.0;16.12;221.4;128.0;9.96;11.8;5.0;3.19;52.17;2;0
12770;Male;31.0;NC;55;408 856 48 72;International;0;221.0;115.0;37.57;165.4;97.0;14.06;235.4;117.0;10.59;9.7;4.0;2.62;64.84;1;0
12773;Male;;TN;70;510 445 35 48;None;0;126.3;99.0;21.47;141.6;106.0;12.04;255.9;96.0;11.52;9.6;2.0;2.59;47.62;0;0
12841;Female;32.0;NY;160;408 327 88 31;None;0;216.8;77.0;36.86;207.3;117.0;17.62;228.6;117.0;10.29;5.6;2.0;1.51;66.28;1;0
12905;Male;42.0;OH;75;510 741 81 76;Voice mail;27;117.5;102.0;19.98;206.8;127.0;17.58;194.4;114.0;8.75;4.2;7.0;1.13;47.44;3;0
12924;Male;37.0;AR;89;415 636 24 68;Voice mail;25;215.1;140.0;36.57;197.4;69.0;16.78;162.1;117.0;7.29;10.6;10.0;2.86;63.5;1;0
12948;Male;38.0;DC;102;415 259 92 61;None;0;186.8;92.0;31.76;173.7;123.0;14.76;250.9;131.0;11.29;9.7;4.0;2.62;60.43;2;0
12982;Male;37.0;ND;124;415 694 22 90;None;0;150.3;101.0;25.55;255.9;112.0;21.75;136.7;62.0;6.15;12.5;4.0;3.38;56.83;2;0
13035;Male;;MT;96;415 265 19 88;None;0;97.6;98.0;16.59;105.5;118.0;8.97;220.2;105.0;9.91;11.6;9.0;3.13;38.6;1;0
13054;Male;28.0;NM;132;408 226 73 45;None;0;214.6;78.0;36.48;251.7;98.0;21.39;240.8;88.0;10.84;13.9;2.0;3.75;72.46;0;0
13063;Male;33.0;NE;159;415 833 39 26;None;0;189.1;105.0;32.15;246.1;147.0;20.92;242.0;106.0;10.89;10.4;5.0;2.81;66.77;1;1
13068;Female;22.0;WA;56;415 375 92 90;Voice mail;29;37.7;115.0;6.41;144.1;111.0;12.25;226.6;101.0;10.2;4.9;3.0;1.32;30.18;1;0
13099;Male;34.0;AR;77;415 307 24 35;Voice mail;23;209.7;73.0;35.65;183.6;63.0;15.61;205.5;111.0;9.25;7.1;3.0;1.92;62.43;2;0
13152;Male;29.0;AZ;99;415 230 58 96;None;0;198.2;87.0;33.69;207.3;76.0;17.62;190.9;113.0;8.59;8.7;3.0;2.35;62.25;4;0
13158;Male;;CO;192;415 826 50 73;None;0;185.0;88.0;31.45;224.9;98.0;19.12;212.4;105.0;9.56;11.4;3.0;3.08;63.21;2;0
13190;Female;;FL;155;415 305 54 28;;0;181.4;111.0;30.84;167.7;92.0;14.25;168.5;122.0;7.58;11.3;3.0;3.05;55.72;3;0
13204;Male;45.0;AK;48;415 190 79 41;Voice mail;37;211.7;115.0;35.99;159.9;84.0;13.59;144.1;80.0;6.48;12.2;1.0;3.29;59.35;1;0
13256;Male;29.0;NH;111;510 482 24 84;None;0;197.1;117.0;33.51;227.8;128.0;19.36;214.0;101.0;9.63;9.3;11.0;2.51;65.01;0;0
13265;Female;26.0;AZ;107;415 226 57 80;Voice mail;32;134.2;101.0;22.81;211.9;145.0;18.01;167.6;138.0;7.54;8.2;5.0;2.21;50.57;1;0
13293;Male;31.0;LA;94;415 821 88 50;None;0;212.1;98.0;36.06;189.4;89.0;16.1;352.2;95.0;15.85;8.4;5.0;2.27;70.28;3;0
13299;Male;49.0;MS;96;510 485 84 34;None;0;98.2;100.0;16.69;307.2;88.0;26.11;182.5;120.0;8.21;7.6;1.0;2.05;53.06;2;0
13304;Male;44.0;FL;70;510 949 85 66;International;0;226,7;98.0;38.54;228.1;115.0;19.39;73.2;93.0;3.29;17.6;4.0;4.75;65.97;2;1
13311;Female;;DC;115;408 727 32 91;None;0;178.7;114.0;30.38;271.0;96.0;23.04;245.9;94.0;11.07;16.4;5.0;4.43;68.92;2;0
13387;Female;;UT;111;510 385 71 95;None;0;191.3;80.0;32.52;138.5;94.0;11.77;246.0;107.0;11.07;6.4;3.0;1.73;57.09;2;0
13466;Female;;MT;119;510 903 19 70;None;0;134.9;70.0;22.93;211.5;74.0;17.98;188.5;105.0;8.48;11.3;6.0;3.05;52.44;1;0
13571;Male;39.0;GA;64;408 539 24 36;None;0;124.1;117.0;21.1;192.8;108.0;16.39;162.9;84.0;7.33;6.4;5.0;1.73;46.55;3;0
13583;Female;;KS;94;510 738 15 87;Voice mail;28;233.2;88.0;39.64;113.3;102.0;9.63;118.0;71.0;5.31;16.1;4.0;4.35;58.93;0;0
13634;Female;39.0;IA;52;408 181 90 38;None;0;191.9;108.0;32.62;269.8;96.0;22.93;236.8;87.0;10.66;7.8;5.0;2.11;68.32;3;0
13638;Male;36.0;ME;59;510 851 62 87;None;0;166.3;95.0;28.27;239.3;87.0;20.34;123.2;108.0;5.54;10.0;3.0;2.7;56.85;2;0
13768;Male;;DE;51;415 784 13 48;International;0;153.6;108.0;26.11;232.9;85.0;19.8;214.2;92.0;9.64;14.1;4.0;3.81;59.36;0;1
13862;Female;27.0;GA;189;408 472 36 19;None;0;227.4;84.0;38.66;176.0;81.0;14.96;206.1;120.0;9.27;6.3;4.0;1.7;64.59;2;0
13913;Female;;WI;66;415 232 91 29;International;0;208.7;84.0;35.48;173.3;88.0;14.73;264.7;107.0;11.91;8.3;3.0;2.24;64.36;3;0
13984;Male;39.0;CA;60;415 143 50 97;International;0;183.0;110.0;31.11;206.7;93.0;17.57;203.8;119.0;9.17;11.1;6.0;3.0;60.85;1;0
14065;Female;;MN;122;415 127 45 19;None;0;234.1;101.0;39.8;200.2;121.0;17.02;237.4;89.0;10.68;13.1;9.0;3.54;71.04;2;0
14268;Male;48.0;AK;74;415 305 35 37;None;0;262.3;114.0;44.59;198.9;96.0;16.91;165.9;90.0;7.47;6.6;5.0;1.78;70.75;3;0
14273;Female;26.0;VA;104;415 423 72 91;Voice mail;23;280.2;136.0;47.63;220.5;92.0;18.74;136.9;102.0;6.16;13.3;3.0;3.59;76.12;4;0
14303;Male;;FL;106;415 800 51 47;Voice mail;31;197.4;125.0;33.56;123.4;110.0;10.49;115.6;101.0;5.2;12.3;4.0;3.32;52.57;3;0
14304;Female;19.0;AR;109;510 951 37 94;None;0;170.7;101.0;29.02;240.2;82.0;20.42;119.0;112.0;5.36;11.4;4.0;3.08;57.88;2;0
14311;Male;;CA;75;510 268 49 31;Voice mail;38;163.6;132.0;27.81;146.7;113.0;12.47;345.8;115.0;15.56;13.1;3.0;3.54;59.38;3;0
14319;Male;30.0;WI;62;415 649 83 83;None;0;86.3;84.0;14.67;238.7;99.0;20.29;238.4;79.0;10.73;12.5;1.0;3.38;49.07;2;0
14405;Male;30.0;ME;36;510 516 63 33;International, Voice mail;42;196.8;89.0;33.46;254.9;122.0;21.67;138.3;126.0;6.22;20.0;6.0;5.4;66.75;0;1
14413;Female;;UT;68;415 773 73 69;None;0;213.9;112.0;36.36;260.5;100.0;22.14;233.8;97.0;10.52;8,4;3.0;2.27;71.29;1;1
14414;Male;;ID;101;510 575 55 36;Voice mail;17;193.9;71.0;32.96;189.8;81.0;16.13;196.3;97.0;8.83;12.6;7.0;3.4;61.32;0;0
14532;Male;;FL;159;415 489 48 65;Voice mail;15;113.9;102.0;19.36;145.3;146.0;12.35;195.2;137.0;8.78;11.8;9.0;3.19;43.68;1;0
14539;Female;31.0;LA;99;510 282 36 32;None;0;142.3;89.0;24.19;204.5;95.0;17.38;203.1;114.0;9.14;9.1;1.0;2.46;53.17;0;0
14564;Male;;MA;123;415 877 87 90;None;0;209.4;49.0;35.6;237.4;117.0;20.18;239.2;98.0;10.76;9.8;11.0;2.65;69.19;1;0
14574;Female;;AL;93;408 828 67 86;None;0;267.9;114.0;45.54;223.0;74.0;18.96;262.7;90.0;11.82;11.3;3.0;3.05;79.37;3;1
14599;Female;42.0;MA;51;415 559 29 20;None;0;183.1;99.0;31.13;160.1;107.0;13.61;311.8;121.0;14.03;7.0;3.0;1.89;60.66;1;0
14663;Female;36.0;AR;179;415 567 70 42;International, Voice mail;38;220.1;78.0;37.42;234.3;71.0;19.92;237.3;85.0;10.68;10.1;4.0;2.73;70.75;4;0
14756;Female;41.0;ND;101;415 749 89 45;Voice mail;28;105.9;132.0;18.0;231.7;107.0;19.69;281.3;120.0;12.66;10.7;5.0;2.89;53.24;1;0
14768;Male;25.0;NE;147;415 139 73 48;Voice mail;38;243.4;126.0;41.38;273.8;109.0;23.27;282.9;91.0;12.73;14.1;8.0;3.81;81.19;2;0
14861;Male;25.0;MS;66;408 472 64 70;Voice mail;32;187.8;117.0;31.93;129.8;90.0;11.03;132.3;113.0;5.95;12.0;3.0;3.24;52.15;2;0
14867;Male;45.0;NV;87;510 779 33 24;Voice mail;39;82.6;113.0;14.04;224.4;63.0;19.07;163.6;88.0;7.36;9.5;1.0;2.57;43.04;3;0
14869;Female;47.0;WV;67;408 990 15 72;None;0;167.8;91.0;28.53;167.7;69.0;14.25;110.3;71.0;4.96;8.4;12.0;2.27;50.01;1;0
14871;Male;40.0;NC;169;408 168 87 10;None;0;142.5;82.0;24.23;231.4;110.0;19.67;131.2;67.0;5.9;10.0;4.0;2.7;52.5;2;0
14884;Male;30.0;NY;125;415 388 99 78;None;0;233.3;65.0;39.66;209.8;93.0;17.83;210.6;109.0;9.48;9.1;4.0;2.46;69.43;1;0
14948;Female;30.0;RI;123;415 751 57 24;Voice mail;27;218.7;79.0;37.18;163.4;78.0;13.89;173.8;116.0;7.82;15.0;1.0;4.05;62.94;0;0
15017;Female;28.0;HI;99;408 573 48 43;None;0;135.7;107.0;23.07;208.4;103.0;17.71;209.0;95.0;9.4;8.8;3.0;2.38;52.56;7;1
15156;Female;28.0;NE;37;408 722 13 81;International, Voice mail;39;149.7;122.0;25.45;211.1;75.0;17.94;114.3;90.0;5.14;9.2;4.0;2.48;51.01;1;0
15162;Male;;IL;74;510 510 66 92;Voice mail;27;154.1;122.0;26.2;195.3;150.0;16.6;276.7;86.0;12.45;13.2;2.0;3.56;58.81;4;0
15202;Female;37.0;UT;162;408 221 27 62;None;0;184.5;118.0;31.37;224.0;95.0;19.04;180.5;82.0;8.12;11.6;3.0;3.13;61.66;1;0
15219;Female;29.0;DE;51;510 775 43 91;None;0;181.5;108.0;30.86;196.9;87.0;16.74;187.2;119.0;8.42;10,3;2.0;2.78;58.8;1;0
15256;Male;37.0;IL;16;415 786 13 99;International;0;110.0;91.0;18.7;147.3;75.0;12.52;190.5;73.0;8.57;6.4;7.0;1.73;41.52;0;0
15299;Male;33.0;MD;51;510 350 54 96;Voice mail;28;276.7;121.0;47.04;203.7;99.0;17.31;246.2;88.0;11.08;8.3;3.0;2.24;77.67;0;0
15313;Male;16.0;WV;95;415 266 12 70;None;0;175.2;91.0;29.78;244.4;109.0;20.77;75.8;95.0;3.41;7.5;2.0;2.03;55.99;1;0
15350;Female;32.0;ND;146;408 265 41 78;Voice mail;19;176.6;88.0;30.02;162.7;66.0;13.83;215.5;98.0;9.7;14.6;6.0;3.94;57.49;1;0
15371;Male;35.0;SC;99;510 616 89 10;None;0;169.2;70.0;28.76;271.5;77.0;23.08;170.2;104.0;7.66;10.6;2.0;2.86;62.36;0;0
15382;Female;30.0;MN;79;408 986 49 31;Voice mail;32;50.6;62.0;8.6;201.4;87.0;17.12;146.8;121.0;6.61;4.2;4.0;1.13;33.46;2;0
15383;Male;30.0;NM;117;415 748 42 18;None;0;143.3;103.0;24.36;211.3;108.0;17.96;185.2;96.0;8.33;11.5;3.0;3.11;53.76;1;0
15392;Female;;RI;107;510 575 14 35;International;0;194.4;83.0;33.05;247.8;84.0;21.06;245.4;93.0;11.04;11.2;7.0;3.02;68.17;2;0
15425;Male;41.0;VT;120;415 624 51 96;;0;149.2;98.0;25.36;193.6;88.0;16.46;248.9;119.0;11.2;11.1;5.0;3.0;56.02;1;0
15460;Male;35.0;DE;75;510 255 93 57;Voice mail;28;200.6;96.0;34.1;164.1;111.0;13.95;169.6;153.0;7.63;2.5;5.0;0.68;56.36;1;0
15539;Female;39.0;NY;122;510 868 49 37;None;0;145.6;102.0;24.75;284.7;111.0;24.2;228.2;91.0;10.27;12.2;5.0;3.29;62.51;0;0
15665;Female;;KS;52;415 670 20 19;None;0;165.5;78.0;28.14;205.5;89.0;17.47;213.6;124.0;9.61;12.2;6.0;3.29;58.51;0;0
15680;Female;27.0;NJ;131;415 195 49 47;None;0;211.8;115.0;36.01;260.5;102.0;22.14;144.2;96.0;6.49;10.8;7.0;2.92;67.56;0;0
15693;Male;22.0;MO;107;415 556 62 22;None;0;146.9;94.0;24.97;114.3;111.0;9.72;114.5;97.0;5.15;11.4;5.0;3.08;42.92;3;0
15711;Male;45.0;IN;87;510 517 20 65;None;0;234.8;85.0;39.92;140.9;91.0;11.98;204.3;93.0;9.19;9.5;5.0;2.57;63.66;1;0
15713;Male;36.0;MN;95;408 995 85 91;Voice mail;32;262.2;123.0;44.57;165.2;82.0;14.04;194.3;57.0;8.74;10.6;5.0;2.86;70.21;0;0
15736;Female;21.0;SD;121;415 488 20 28;None;0;179.4;70.0;30.5;143.0;93.0;12.16;116.3;113.0;5.23;11.2;5.0;3.02;50.91;1;0
15775;Male;46.0;AK;127;408 808 20 84;None;0;182.3;124.0;30.99;169.9;110.0;14.44;184.0;116.0;8.28;9.3;3.0;2.51;56.22;1;0
15784;Male;37.0;ND;136;510 316 87 48;International;0;256.8;90.0;43.66;230.1;104.0;19.56;143.6;82.0;6.46;9.1;10.0;2.46;72.14;3;0
15796;Female;44.0;RI;80;510 868 30 17;None;0;202.4;118.0;34.41;260.2;67.0;22.12;177.4;112.0;7.98;9.2;5.0;2.48;66.99;3;0
15822;Male;40.0;AZ;73;415 411 69 80;None;0;175.4;130.0;29.82;248.1;105.0;21.09;122.4;85.0;5.51;12.2;4.0;3.29;59.71;0;0
15825;Female;;MS;111;408 873 49 35;None;0;294.7;90.0;50.1;294.6;72.0;25.04;260.1;121.0;11.7;10.8;3.0;2.92;89.76;1;1
15854;Male;33.0;WV;172;415 116 47 18;None;0;211.7;100.0;35.99;198.7;101.0;16.89;301.7;136.0;13.58;6.5;9.0;1.76;68.22;1;0
